movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,Domestic gross (North America),Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,G,NC-17,PG,PG-13,R,release_date,budget,worldwide_gross,is_profitable,month_number
tt0068646,The Godfather,1972,R,175 min,"Crime,Drama",9.2,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,/name/nm0000338/,"Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton","/name/nm0000008/,/name/nm0000199/,/name/nm0001001/,/name/nm0000473/",1875646,134966411,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1972-03-14,6000000,268500000,TRUE,3
tt0108052,Schindler's List,1993,R,195 min,"Biography,Drama,History",9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,/name/nm0000229/,"Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall","/name/nm0000553/,/name/nm0000146/,/name/nm0001426/,/name/nm0328751/",1369752,96898818,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993-12-15,22000000,317100000,TRUE,12
tt0167260,The Lord of the Rings: The Return of the King,2003,PG-13,201 min,"Action,Adventure,Drama",9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,/name/nm0001392/,"Elijah Wood, 
Viggo Mortensen, 
Ian McKellen, 
Orlando Bloom","/name/nm0000704/,/name/nm0001557/,/name/nm0005212/,/name/nm0089217/",1860374,377845905,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2003-12-01,94000000,1141403341,TRUE,12
tt0468569,The Dark Knight,2008,PG-13,152 min,"Action,Crime,Drama",9,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,/name/nm0634240/,"Christian Bale, 
Heath Ledger, 
Aaron Eckhart, 
Michael Caine","/name/nm0000288/,/name/nm0005132/,/name/nm0001173/,/name/nm0000323/",2675531,534858444,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2008-07-16,185000000,1001996207,TRUE,7
tt0050083,12 Angry Men,1957,G,96 min,"Crime,Drama",9,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,/name/nm0001486/,"Henry Fonda, 
Lee J. Cobb, 
Martin Balsam, 
John Fiedler","/name/nm0000020/,/name/nm0002011/,/name/nm0000842/,/name/nm0275835/",798065,4360000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1957-04-10,350000,10438,FALSE,4
tt0071562,The Godfather Part II,1974,R,202 min,"Crime,Drama",9,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,/name/nm0000338/,"Al Pacino, 
Robert De Niro, 
Robert Duvall, 
Diane Keaton","/name/nm0000199/,/name/nm0000134/,/name/nm0000380/,/name/nm0000473/",1281423,57300000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1974-12-20,13000000,"48,209,545",TRUE,12
tt0110912,Pulp Fiction,1994,R,154 min,"Crime,Drama",8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,/name/nm0000233/,"John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis","/name/nm0000237/,/name/nm0000235/,/name/nm0000168/,/name/nm0000246/",2074027,107928762,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1994-09-10,8000000,212928762,TRUE,9
tt0109830,Forrest Gump,1994,PG-13,142 min,"Drama,Romance",8.8,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,/name/nm0000709/,"Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field","/name/nm0000158/,/name/nm0000705/,/name/nm0000641/,/name/nm0000398/",2106826,330252182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1994-06-23,55000000,679850637,TRUE,6
tt1375666,Inception,2010,PG-13,148 min,"Action,Adventure,Sci-Fi",8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,/name/nm0634240/,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe","/name/nm0000138/,/name/nm0330687/,/name/nm0680983/,/name/nm0913822/",2373707,292576195,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2010-07-15,160000000,835524642,TRUE,7
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action,Adventure,Drama",8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,/name/nm0001392/,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean","/name/nm0000704/,/name/nm0005212/,/name/nm0089217/,/name/nm0000293/",1889727,315544750,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001-12-18,93000000,887210985,TRUE,12
