movie_name,domestic,worldwide_gross,Distributor,movie_id,titleType,runtimeMinutes,genres,Rating,numVotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Certification,month_number,budget,G,NC-17,PG,PG-13,R,success
Migration,54103955,298896897,Universal Pictures,tt6495056,movie,83,"Adventure,Animation,Comedy",6.6,46584,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,12,72000000,0,0,1,0,0,1
Winnie-the-Pooh: Blood and Honey,1750639,7717044,Fathom Events,tt19623240,movie,84,Horror,2.9,36877,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,2,100000,0,0,0,0,1,1
Dicks: The Musical,1453012,1472114,A24,tt7130916,movie,86,"Comedy,Musical",5.3,4060,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,R,10,12000000,0,0,0,0,1,0
PAW Patrol: The Mighty Movie,65231360,202231360,Paramount Pictures,tt15837338,movie,88,"Action,Adventure,Animation",5.9,6519,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,9,40387500,0,0,1,0,0,1
Mummies,4275970,54475970,Warner Bros.,tt23177868,movie,88,"Adventure,Animation,Comedy",5.9,10326,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,2,12000000,1,0,0,0,0,1
About My Father,12089391,18167819,Lionsgate,tt8373206,movie,90,Comedy,5.8,19109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,5,30000000,0,0,1,0,0,0
The Miracle Club,2377438,7498671,Sony Pictures Releasing,tt12712604,movie,90,"Comedy,Drama",6.4,8741,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,7,10484867,0,0,1,0,0,0
Trolls Band Together,96370205,209361042,Universal Pictures,tt14362112,movie,91,"Adventure,Animation,Comedy",6,19916,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,11,95000000,1,0,0,0,0,0
Ruby Gillman: Teenage Kraken,15753600,45528749,DreamWorks,tt27155038,movie,91,"Action,Adventure,Animation",5.7,14375,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,6,70000000,1,0,0,0,0,0
Bottoms,12036071,12976079,Orion Pictures,tt17527468,movie,91,Comedy,6.7,57627,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,8,11300000,0,0,0,0,1,0
Sisu,7265622,14281199,Lionsgate,tt14846026,movie,91,"Action,Thriller,War",6.9,120441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,R,4,6500000,0,0,0,0,1,0
Retribution,6937696,18685751,Roadside Attractions,tt6906292,movie,91,"Action,Mystery,Thriller",5.4,28194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,R,8,20000000,0,0,0,0,1,0
